
221	171	183	35	
271	195	235	46	
361	239	289	47	
470	273	341	61	
551	336	396	74	
624	434	427	57	
730	499	482	62	
759	482	463	56	
754	570	525	75	
800	577	522	82	
833	630	610	65	
979	644	617	68	
934	1019	605	70	
1063	595	589	61	
1019	670	579	68	
1021	755	642	69	
1146	1209	683	80	
1093	847	664	71	
1085	910	704	83	
1147	848	729	82	
1317	1448	746	80	
1061	826	656	79	
1020	819	711	70	
1477	974	791	68	
1177	938	793	73	
1658	857	704	79	
1289	1047	849	69	
1258	1092	891	79	
1298	1047	744	79	
1269	1053	843	76	
1139	860	729	82	
1213	886	688	76	
1561	982	800	92	
1347	1062	802	86	
1225	996	799	79	
1302	865	732	69	
1326	1069	742	76	
1417	1116	821	88	
1181	1195	770	79	
1305	1193	738	83	
1561	889	712	68	
1256	963	763	72	
1273	987	822	77	
1583	946	735	79	
1351	961	763	67	
1560	966	774	64	
1277	877	792	73	
1625	926	903	65	
1189	891	765	67	
1284	895	804	69	
1648	960	763	66	
1193	1260	779	69	
1222	964	837	67	
1637	971	774	61	
1280	955	785	61	
1354	1027	860	65	
1274	902	819	70	
1196	965	879	64	
1282	1044	804	62	
1636	1009	805	61	
1327	964	817	65	
1383	943	825	67	
1588	1011	882	65	
1244	1039	862	68	
1668	1054	840	68	
1410	995	823	69	
1308	1035	784	78	
1340	1008	850	67	
1717	1074	820	65	
1342	1075	819	60	
1326	1056	869	64	
1359	1040	868	66	
1710	1035	849	62	
1403	1036	836	69	
1401	1066	821	62	
1385	955	923	68	
1263	1027	1268	61	
1745	1019	829	64	
1387	1033	826	64	
1521	1087	911	67	
1300	1065	926	65	
1406	1361	812	63	
1346	1096	942	70	
1375	980	838	64	
1358	1371	825	64	
1337	986	839	66	
1743	1058	826	67	
1387	1406	882	65	
1277	1052	894	69	
1355	1131	826	66	
1467	1042	913	63	
1706	1578	1019	67	
1654	1535	1071	67	
1584	1498	916	61	
1434	1040	896	73	
1391	1095	909	62	
1369	1189	857	64	
1746	1213	899	57	
1444	1132	938	64	
1442	1127	1250	64	
